Unidade da Federação/Categoria Administrativa,Total - Total Geral, Capital - Total Geral , Interior - Total Geral ,Total - Universidades, Capital - Universidades , Interior - Universidades ,Total - Centros Universitários, Capital - Centros Universitários , Interior - Centros Universitários ,Total - Faculdades Integradas, Capital - Faculdades Integradas , Interior - Faculdades Integradas ,"Total - Faculdades, Escolas e Institutos"," Capital - Faculdades, Escolas e Institutos "," Interior - Faculdades, Escolas e Institutos ",Total - CET/FaT, Capital - CET/FaT , Interior - CET/FaT 
Comun/Confes/Filant,  83 ,  18 ,  65 ,  18 ,  2 ,  16 ,  11 ,  2 ,  9 , - , - , - ,  52 ,  13 ,  39 ,  2 ,  1 ,  1 
Paraná,  172 ,  48 ,  124 ,  11 ,  4 ,  7 ,  6 ,  3 ,  3 ,  7 ,  4 ,  3 ,  136 ,  27 ,  109 ,  12 ,  10 ,  2 
Pública,  22 ,  4 ,  18 ,  7 ,  2 ,  5 , - , - , - , - , - , - ,  15 ,  2 ,  13 , - , - , - 
Federal,  2 ,  2 , - ,  2 ,  2 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual,  17 ,  2 ,  15 ,  5 , - ,  5 , - , - , - , - , - , - ,  12 ,  2 ,  10 , - , - , - 
Municipal,  3 , - ,  3 , - , - , - , - , - , - , - , - , - ,  3 , - ,  3 , - , - , - 
Privada,  150 ,  44 ,  106 ,  4 ,  2 ,  2 ,  6 ,  3 ,  3 ,  7 ,  4 ,  3 ,  121 ,  25 ,  96 ,  12 ,  10 ,  2 
Particular,  125 ,  31 ,  94 ,  3 ,  1 ,  2 ,  3 ,  2 ,  1 ,  7 ,  4 ,  3 ,  101 ,  15 ,  86 ,  11 ,  9 ,  2 
Comun/Confes/Filant,  25 ,  13 ,  12 ,  1 ,  1 , - ,  3 ,  1 ,  2 , - , - , - ,  20 ,  10 ,  10 ,  1 ,  1 , - 
Santa Catarina,  99 ,  13 ,  86 ,  12 ,  2 ,  10 ,  4 , - ,  4 ,  2 ,  1 ,  1 ,  55 ,  7 ,  48 ,  26 ,  3 ,  23 
Pública,  7 ,  3 ,  4 ,  5 ,  2 ,  3 , - , - , - , - , - , - , - , - , - ,  2 ,  1 ,  1 
Federal,  3 ,  2 ,  1 ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  2 ,  1 ,  1 
Estadual,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  3 , - ,  3 ,  3 , - ,  3 , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  92 ,  10 ,  82 ,  7 , - ,  7 ,  4 , - ,  4 ,  2 ,  1 ,  1 ,  55 ,  7 ,  48 ,  24 ,  2 ,  22 
Particular,  75 ,  10 ,  65 ,  1 , - ,  1 ,  1 , - ,  1 ,  2 ,  1 ,  1 ,  48 ,  7 ,  41 ,  23 ,  2 ,  21 
Comun/Confes/Filant,  17 , - ,  17 ,  6 , - ,  6 ,  3 , - ,  3 , - , - , - ,  7 , - ,  7 ,  1 , - ,  1 
Rio Grande do Sul,  99 ,  26 ,  73 ,  16 ,  3 ,  13 ,  6 ,  2 ,  4 ,  1 , - ,  1 ,  63 ,  18 ,  45 ,  13 ,  3 ,  10 
Pública,  10 ,  3 ,  7 ,  5 ,  2 ,  3 , - , - , - , - , - , - ,  1 ,  1 , - ,  4 , - ,  4 
Federal,  9 ,  2 ,  7 ,  4 ,  1 ,  3 , - , - , - , - , - , - ,  1 ,  1 , - ,  4 , - ,  4 
Estadual,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  89 ,  23 ,  66 ,  11 ,  1 ,  10 ,  6 ,  2 ,  4 ,  1 , - ,  1 ,  62 ,  17 ,  45 ,  9 ,  3 ,  6 
Particular,  48 ,  18 ,  30 , - , - , - ,  1 ,  1 , - ,  1 , - ,  1 ,  37 ,  14 ,  23 ,  9 ,  3 ,  6 
Comun/Confes/Filant,  41 ,  5 ,  36 ,  11 ,  1 ,  10 ,  5 ,  1 ,  4 , - , - , - ,  25 ,  3 ,  22 , - , - , - 
Centro-Oeste,  234 ,  111 ,  123 ,  14 ,  9 ,  5 ,  10 ,  7 ,  3 ,  21 ,  5 ,  16 ,  176 ,  82 ,  94 ,  13 ,  8 ,  5 
Pública,  18 ,  8 ,  10 ,  8 ,  4 ,  4 , - , - , - ,  1 , - ,  1 ,  4 ,  1 ,  3 ,  5 ,  3 ,  2 
Federal,  10 ,  7 ,  3 ,  5 ,  4 ,  1 , - , - , - , - , - , - , - , - , - ,  5 ,  3 ,  2 
Estadual,  4 ,  1 ,  3 ,  3 , - ,  3 , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Municipal,  4 , - ,  4 , - , - , - , - , - , - ,  1 , - ,  1 ,  3 , - ,  3 , - , - , - 
Privada,  216 ,  103 ,  113 ,  6 ,  5 ,  1 ,  10 ,  7 ,  3 ,  20 ,  5 ,  15 ,  172 ,  81 ,  91 ,  8 ,  5 ,  3 
Particular,  186 ,  85 ,  101 ,  1 ,  1 , - ,  9 ,  7 ,  2 ,  20 ,  5 ,  15 ,  150 ,  69 ,  81 ,  6 ,  3 ,  3 
Comun/Confes/Filant,  30 ,  18 ,  12 ,  5 ,  4 ,  1 ,  1 , - ,  1 , - , - , - ,  22 ,  12 ,  10 ,  2 ,  2 , - 
Mato Grosso do Sul,  44 ,  8 ,  36 ,  5 ,  3 ,  2 ,  2 ,  1 ,  1 ,  7 , - ,  7 ,  30 ,  4 ,  26 , - , - , - 
Pública,  3 ,  1 ,  2 ,  3 ,  1 ,  2 , - , - , - , - , - , - , - , - , - , - , - , - 
Federal,  2 ,  1 ,  1 ,  2 ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual,  1 , - ,  1 ,  1 , - ,  1 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  41 ,  7 ,  34 ,  2 ,  2 , - ,  2 ,  1 ,  1 ,  7 , - ,  7 ,  30 ,  4 ,  26 , - , - , - 
Particular,  34 ,  4 ,  30 ,  1 ,  1 , - ,  2 ,  1 ,  1 ,  7 , - ,  7 ,  24 ,  2 ,  22 , - , - , - 
Comun/Confes/Filant,  7 ,  3 ,  4 ,  1 ,  1 , - , - , - , - , - , - , - ,  6 ,  2 ,  4 , - , - , - 
Mato Grosso,  56 ,  14 ,  42 ,  3 ,  2 ,  1 ,  2 ,  1 ,  1 ,  7 ,  1 ,  6 ,  42 ,  8 ,  34 ,  2 ,  2 , - 
Pública,  5 ,  3 ,  2 ,  2 ,  1 ,  1 , - , - , - , - , - , - ,  1 , - ,  1 ,  2 ,  2 , - 
Federal,  3 ,  3 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  2 ,  2 , - 
Estadual,  1 , - ,  1 ,  1 , - ,  1 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  1 , - ,  1 , - , - , - , - , - , - , - , - , - ,  1 , - ,  1 , - , - , - 
Privada,  51 ,  11 ,  40 ,  1 ,  1 , - ,  2 ,  1 ,  1 ,  7 ,  1 ,  6 ,  41 ,  8 ,  33 , - , - , - 
Particular,  43 ,  8 ,  35 , - , - , - ,  2 ,  1 ,  1 ,  7 ,  1 ,  6 ,  34 ,  6 ,  28 , - , - , - 
Comun/Confes/Filant,  8 ,  3 ,  5 ,  1 ,  1 , - , - , - , - , - , - , - ,  7 ,  2 ,  5 , - , - , - 
Goiás,  66 ,  21 ,  45 ,  4 ,  2 ,  2 ,  2 ,  1 ,  1 ,  3 , - ,  3 ,  49 ,  15 ,  34 ,  8 ,  3 ,  5 
Pública,  8 ,  2 ,  6 ,  2 ,  1 ,  1 , - , - , - ,  1 , - ,  1 ,  2 , - ,  2 ,  3 ,  1 ,  2 
Federal,  4 ,  2 ,  2 ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  3 ,  1 ,  2 
Estadual,  1 , - ,  1 ,  1 , - ,  1 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  3 , - ,  3 , - , - , - , - , - , - ,  1 , - ,  1 ,  2 , - ,  2 , - , - , - 
Privada,  58 ,  19 ,  39 ,  2 ,  1 ,  1 ,  2 ,  1 ,  1 ,  2 , - ,  2 ,  47 ,  15 ,  32 ,  5 ,  2 ,  3 
Particular,  51 ,  15 ,  36 , - , - , - ,  1 ,  1 , - ,  2 , - ,  2 ,  43 ,  12 ,  31 ,  5 ,  2 ,  3 
Comun/Confes/Filant,  7 ,  4 ,  3 ,  2 ,  1 ,  1 ,  1 , - ,  1 , - , - , - ,  4 ,  3 ,  1 , - , - , - 
Distrito Federal,  68 ,  68 , - ,  2 ,  2 , - ,  4 ,  4 , - ,  4 ,  4 , - ,  55 ,  55 , - ,  3 ,  3 , - 
Pública,  2 ,  2 , - ,  1 ,  1 , - , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Federal,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  66 ,  66 , - ,  1 ,  1 , - ,  4 ,  4 , - ,  4 ,  4 , - ,  54 ,  54 , - ,  3 ,  3 , - 
Particular,  58 ,  58 , - , - , - , - ,  4 ,  4 , - ,  4 ,  4 , - ,  49 ,  49 , - ,  1 ,  1 , - 
Comun/Confes/Filant,  8 ,  8 , - ,  1 ,  1 , - , - , - , - , - , - , - ,  5 ,  5 , - ,  2 ,  2 , - 
